id,sport,gender,matchType,iit,status,matchNo,pool,team1,team2,date,time,courtNo
95,Basketball,Women,Pre-Quarter Final,IIT Madras,upcoming,21,PQF 1,WINNER OF POOL A,RUNNER-UP OF POOL C,18/12/2025,6:30 AM,2
96,Basketball,Women,Pre-Quarter Final,IIT Madras,upcoming,22,PQF 2,WINNER OF POOL B,RUNNER-UP OF POOL D,18/12/2025,8:00 AM,2
97,Basketball,Women,Pre-Quarter Final,IIT Madras,upcoming,23,PQF 3,WINNER OF POOL C,RUNNER-UP OF POOL A,18/12/2025,9:30 AM,2
98,Basketball,Women,Pre-Quarter Final,IIT Madras,upcoming,24,PQF 4,WINNER OF POOL D,RUNNER-UP OF POOL B,18/12/2025,11:00 AM,2
99,Basketball,Women,Pre-Quarter Final,IIT Madras,upcoming,25,PQF 5,WINNER OF POOL E,RUNNER-UP OF POOL G,18/12/2025,03:00:PM,2
100,Basketball,Women,Pre-Quarter Final,IIT Madras,upcoming,26,PQF 6,WINNER OF POOL F,RUNNER-UP OF POOL H,18/12/2025,04:30:PM,2
101,Basketball,Women,Pre-Quarter Final,IIT Madras,upcoming,27,PQF 7,WINNER OF POOL G,RUNNER-UP OF POOL E,18/12/2025,06:00:PM,2
102,Basketball,Women,Pre-Quarter Final,IIT Madras,upcoming,28,PQF 8,WINNER OF POOL H,RUNNER-UP OF POOL F,18/12/2025,07:30:PM,2
103,Basketball,Women,Quarter Final,IIT Madras,upcoming,29,QF1,WINNER OF PQF 1,WINNER OF PQF 6,19/12/2025,8:00 AM,2
104,Basketball,Women,Quarter Final,IIT Madras,upcoming,30,QF 2,WINNER OF PQF 2,WINNER OF PQF 5,19/12/2025,9:30 AM,2
105,Basketball,Women,Quarter Final,IIT Madras,upcoming,31,QF 3,WINNER OF PQF 3,WINNER OF PQF 8,19/12/2025,3:00 PM,2
106,Basketball,Women,Quarter Final,IIT Madras,upcoming,32,QF 4,WINNER OF PQF 4,WINNER OF PQF 7,19/12/2025,4:30 PM,2
107,Basketball,Women,Semi Final,IIT Madras,upcoming,33,SF 1,WINNER OF QF 1,WINNER OF QF 4,20/12/2025,8:00 AM,2
108,Basketball,Women,Semi Final,IIT Madras,upcoming,34,SF 2,WINNER OF QF 2,WINNER OF QF 3,20/12/2025,9:30 AM,2
109,Basketball,Women,3rd Place,IIT Madras,upcoming,35,3RD PLACE,LOSER OF SF 1,LOSER OF SF 2,21/12/2025,8:00 AM,2
110,Basketball,Women,Finals,IIT Madras,upcoming,36,FINALS,WINNER OF SF 1,WINNER OF SF 2,21/12/2025,9:30 AM,2
111,Badminton,Women,League,IIT Madras,upcoming,1,B,IIT INDORE,IIT (ISM) DHANBAD,15/12/2025,10.30 AM,2
112,Badminton,Women,League,IIT Madras,upcoming,2,C,IIT BOMBAY,IIT GANDHINAGAR,15/12/2025,10.30 AM,3
113,Badminton,Women,League,IIT Madras,upcoming,3,E,IIT JODHPUR,IIT PALAKKAD,15/12/2025,10.30 AM,1
114,Badminton,Women,League,IIT Madras,upcoming,4,F,IIT ROORKEE,IIT HYDERABAD,15/12/2025,8.30 AM,2
115,Badminton,Women,League,IIT Madras,upcoming,5,G,IIT GUWAHATHI,IIT BHUBANESWAR,15/12/2025,8.30 AM,3
116,Badminton,Women,League,IIT Madras,upcoming,6,H,IIT KHARAGPUR,IIT (BHU) VARANASI,15/12/2025,8.30 AM,1
117,Badminton,Women,League,IIT Madras,upcoming,7,B,IIT TIRUPAΤΙ,IIT (ISM) DHANBAD,16/12/2025,10.30 AM,2
118,Badminton,Women,League,IIT Madras,upcoming,8,C,IIT PATNA,IIT GANDHINAGAR,16/12/2025,10.30 AM,3
119,Badminton,Women,League,IIT Madras,upcoming,9,D,IIT DELHI,IIT MANDI,16/12/2025,10.30 AM,1
120,Badminton,Women,League,IIT Madras,upcoming,10,E,IIT JAMMU,IIT PALAKKAD,16/12/2025,8.30 AM,2
121,Badminton,Women,League,IIT Madras,upcoming,11,F,IIT ROPAR,IIT HYDERABAD,16/12/2025,8.30 AM,3
122,Badminton,Women,League,IIT Madras,upcoming,12,G,IIT BHILAI,IIT BHUBANESWAR,16/12/2025,8.30 AM,1
123,Badminton,Women,League,IIT Madras,upcoming,13,A,IIT MADRAS,IIT KANPUR,17/12/2025,10.30 AM,2
124,Badminton,Women,League,IIT Madras,upcoming,14,B,IIT INDORE,IIT TIRUPATI,17/12/2025,10.30 AM,3
125,Badminton,Women,League,IIT Madras,upcoming,15,C,IIT BOMBAY,IIT PATNA,17/12/2025,10.30 AM,1
126,Badminton,Women,League,IIT Madras,upcoming,16,E,IIT JODHPUR,IIT JAMMU,17/12/2025,8.30 AM,2
127,Badminton,Women,League,IIT Madras,upcoming,17,F,IIT ROORKEE,IIT ROPAR,17/12/2025,8.30 AM,3
128,Badminton,Women,League,IIT Madras,upcoming,18,G,IIT GUWAHATI,IIT BHILAI,17/12/2025,8.30 AM,1
129,Badminton,Women,Pre-Quarter Final,IIT Madras,upcoming,19,PQF 1,WINNER OF POOL A,RUNNER-UP OF POOL C,18/12/2025,10.30 AM,2
130,Badminton,Women,Pre-Quarter Final,IIT Madras,upcoming,20,PQF 2,WINNER OF POOL B,RUNNER-UP OF POOL D,18/12/2025,10.30 AM,3
131,Badminton,Women,Pre-Quarter Final,IIT Madras,upcoming,21,PQF 3,WINNER OF POOL C,RUNNER-UP OF POOL A,18/12/2025,10.30 AM,1
132,Badminton,Women,Pre-Quarter Final,IIT Madras,upcoming,22,PQF 4,WINNER OF POOL D,RUNNER-UP OF POOL B,18/12/2025,10.30 AM,2
133,Badminton,Women,Pre-Quarter Final,IIT Madras,upcoming,23,PQF 5,WINNER OF POOL E,RUNNER-UP OF POOL G,18/12/2025,8.30 AM,3
134,Badminton,Women,Pre-Quarter Final,IIT Madras,upcoming,24,PQF 6,WINNER OF POOL F,RUNNER-UP OF POOL H,18/12/2025,8.30 AM,1
135,Badminton,Women,Pre-Quarter Final,IIT Madras,upcoming,25,PQF 7,WINNER OF POOL G,RUNNER-UP OF POOL E,18/12/2025,8.30 AM,2
136,Badminton,Women,Pre-Quarter Final,IIT Madras,upcoming,26,PQF 8,WINNER OF POOL H,RUNNER-UP OF POOL F,18/12/2025,8.30 AM,3
137,Badminton,Women,Quarter Final,IIT Madras,upcoming,27,QF1,WINNER OF PQF 1,WINNER OF PQF 6,19/12/2025,10.30 AM,2
138,Badminton,Women,Quarter Final,IIT Madras,upcoming,28,QF 2,WINNER OF PQF 2,WINNER OF POF 5,19/12/2025,10.30 AM,3
139,Badminton,Women,Quarter Final,IIT Madras,upcoming,29,QF 3,WINNER OF PQF 3,WINNER OF PQF 8,19/12/2025,10.30 AM,1
140,Badminton,Women,Quarter Final,IIT Madras,upcoming,30,QF 4,WINNER OF PQF 4,WINNER OF PQF7,19/12/2025,10.30 AM,2
141,Badminton,Women,Semi Final,IIT Madras,upcoming,31,SF 1,WINNER OF QF 1,WINNER OF QF 4,20/12/2025,10.30 AM,2
142,Badminton,Women,Semi Final,IIT Madras,upcoming,32,SF 2,WINNER OF QF 2,WINNER OF QF 3,20/12/2025,10.30 AM,3
